INSERT INTO Customer (F_name, M_name, L_name, Phn_n, Email, Gender, Address_id) VALUES 
('Dorothy', 'Clarence', 'Webb', '1158569283', 'Dorothy.Webb5@example.com', 'OTHER', 1),
('Margaret', 'Valerie', 'Owen', '2380314212', 'Margaret.Owen9@example.com', 'F', 2),
('Deborah', 'Margaret', 'Yerkey', '4955797492', 'Deborah.Yerkey47@example.com', 'F', 3),
('Christopher', 'Charlene', 'Chapa', '2473427454', 'Christopher.Chapa34@example.com', 'OTHER', 4),
('Robert', 'Richard', 'Peters', '7471592384', 'Robert.Peters63@example.com', 'OTHER', 5),
('Steven', 'Tara', 'Williams', '5997850946', 'Steven.Williams27@example.com', 'OTHER', 6),
('Debbie', 'Rick', 'Noto', '6807205578', 'Debbie.Noto85@example.com', 'OTHER', 7),
('Thomas', 'James', 'Gaydosh', '0326725932', 'Thomas.Gaydosh66@example.com', 'OTHER', 8),
('Elsie', 'Mary', 'Martin', '4812733701', 'Elsie.Martin82@example.com', 'OTHER', 9),
('Brenda', 'Lorenzo', 'Hann', '7489908911', 'Brenda.Hann2@example.com', 'M', 10),
('Latasha', 'Frank', 'Neal', '7058135598', 'Latasha.Neal57@example.com', 'M', 11),
('Robert', 'Alma', 'Harder', '7150954937', 'Robert.Harder100@example.com', 'OTHER', 12),
('John', 'Willie', 'Webber', '8493452616', 'John.Webber91@example.com', 'M', 13),
('Jody', 'Myesha', 'Mackinnon', '0780289844', 'Jody.Mackinnon30@example.com', 'M', 14),
('Margarita', 'Anthony', 'Barber', '1090685426', 'Margarita.Barber9@example.com', 'OTHER', 15),
('Wallace', 'Renee', 'Wright', '2994014421', 'Wallace.Wright73@example.com', 'F', 16),
('Kenneth', 'Tracy', 'Middleton', '2248438532', 'Kenneth.Middleton89@example.com', 'OTHER', 17),
('Susan', 'Estelle', 'Erickson', '0729512502', 'Susan.Erickson34@example.com', 'OTHER', 18),
('Tomasa', 'Stephen', 'Thompson', '6116815660', 'Tomasa.Thompson48@example.com', 'M', 19),
('Horace', 'Dustin', 'Scorgie', '1902052503', 'Horace.Scorgie85@example.com', 'F', 20),
('Jeffrey', 'Betty', 'Sengbusch', '7579227977', 'Jeffrey.Sengbusch75@example.com', 'OTHER', 21),
('Megan', 'Sara', 'Bowlin', '2306922000', 'Megan.Bowlin72@example.com', 'OTHER', 22),
('Gail', 'Tomasa', 'Shapero', '8049236905', 'Gail.Shapero73@example.com', 'M', 23),
('Debbie', 'Judy', 'Wellman', '5184773624', 'Debbie.Wellman4@example.com', 'F', 24),
('Lamont', 'Estelle', 'Rodas', '8942048115', 'Lamont.Rodas62@example.com', 'M', 25),
('Ruth', 'Richard', 'Keithly', '2810984011', 'Ruth.Keithly5@example.com', 'F', 26),
('Harry', 'Julianne', 'Byrd', '3529887083', 'Harry.Byrd45@example.com', 'M', 27),
('Charles', 'Michael', 'Royce', '4818706760', 'Charles.Royce46@example.com', 'M', 28),
('Bert', 'Daniell', 'Privitera', '2656630520', 'Bert.Privitera98@example.com', 'F', 29),
('Malorie', 'Kerry', 'Manning', '5152831275', 'Malorie.Manning2@example.com', 'M', 30),
('Doris', 'John', 'Wood', '8194013183', 'Doris.Wood53@example.com', 'F', 31),
('Gail', 'Karissa', 'Hill', '5830740239', 'Gail.Hill44@example.com', 'M', 32),
('Terry', 'Shonna', 'Lopez', '4440907384', 'Terry.Lopez93@example.com', 'OTHER', 33),
('Stacey', 'Carolyn', 'Mitchell', '5297824457', 'Stacey.Mitchell96@example.com', 'F', 34),
('Johnny', 'Karen', 'Jones', '4887681478', 'Johnny.Jones88@example.com', 'M', 35),
('Cindy', 'Pearl', 'Miller', '2827618534', 'Cindy.Miller85@example.com', 'F', 36),
('Barbara', 'Jeffrey', 'Hill', '9208807882', 'Barbara.Hill77@example.com', 'OTHER', 37),
('Gregory', 'Mabel', 'Gibbs', '6033097758', 'Gregory.Gibbs46@example.com', 'OTHER', 38),
('Joe', 'Vanessa', 'Ramirez', '4855453383', 'Joe.Ramirez22@example.com', 'M', 39),
('Cathleen', 'Victor', 'Barabas', '8292952859', 'Cathleen.Barabas82@example.com', 'OTHER', 40),
('Mary', 'Beverly', 'Hopkins', '4914363963', 'Mary.Hopkins29@example.com', 'M', 41),
('Leonila', 'David', 'Lang', '7062123002', 'Leonila.Lang17@example.com', 'OTHER', 42),
('Mark', 'William', 'Singletary', '9072738561', 'Mark.Singletary20@example.com', 'M', 43),
('Armando', 'Douglas', 'Butler', '3532711848', 'Armando.Butler60@example.com', 'M', 44),
('Harvey', 'Eugene', 'Gilmore', '0383697125', 'Harvey.Gilmore37@example.com', 'F', 45),
('Patricia', 'Amy', 'Varner', '1226973665', 'Patricia.Varner71@example.com', 'F', 46),
('Cheryl', 'Lindsay', 'Bryant', '2958277598', 'Cheryl.Bryant26@example.com', 'OTHER', 47),
('Rosa', 'Mae', 'Rice', '5677253577', 'Rosa.Rice7@example.com', 'F', 48),
('Chelsea', 'Gary', 'Mcloughlin', '9831515252', 'Chelsea.Mcloughlin54@example.com', 'F', 49),
('Scott', 'Bridget', 'Clark', '8766730237', 'Scott.Clark69@example.com', 'M', 50),
('Betty', 'Billy', 'Cavallaro', '7011620565', 'Betty.Cavallaro88@example.com', 'F', 51),
('Anthony', 'Nettie', 'Armor', '2869549702', 'Anthony.Armor16@example.com', 'F', 52),
('Karen', 'Ira', 'Mills', '2353143305', 'Karen.Mills32@example.com', 'F', 53),
('Liliana', 'Ashley', 'Frenette', '2060423766', 'Liliana.Frenette39@example.com', 'M', 54),
('Julio', 'Travis', 'White', '1171696329', 'Julio.White84@example.com', 'F', 55),
('Janet', 'Lucille', 'Wright', '2313252809', 'Janet.Wright6@example.com', 'OTHER', 56),
('Etta', 'Bonita', 'Quinnie', '5621243137', 'Etta.Quinnie65@example.com', 'OTHER', 57),
('Marvin', 'Richard', 'Vogt', '1291037010', 'Marvin.Vogt67@example.com', 'F', 58),
('Maryanne', 'John', 'Jacobs', '8954412577', 'Maryanne.Jacobs42@example.com', 'F', 59),
('James', 'Michael', 'Mussell', '1141672516', 'James.Mussell21@example.com', 'OTHER', 60),
('Kimberly', 'Paul', 'Rivera', '0482823355', 'Kimberly.Rivera13@example.com', 'M', 61),
('Trina', 'Cara', 'Green', '8976479886', 'Trina.Green55@example.com', 'OTHER', 62),
