INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Lacey', 'Arndt', 'Dolores', '773-555-2905', 'lacey.arndt18@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mary', 'Brown', '', '568-555-5483', 'mary.brown69@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jody', 'Seifert', '', '362-555-9089', 'jody.seifert51@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Bill', 'Johnson', '', '525-555-8683', 'bill.johnson20@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Michael', 'Romo', '', '636-555-6237', 'michael.romo27@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Adolph', 'Robb', '', '114-555-5888', 'adolph.robb3@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Charles', 'Read', 'William', '394-555-7813', 'charles.read18@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Lorene', 'Temple', 'Idalia', '261-555-8411', 'lorene.temple48@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Carla', 'Koslosky', '', '834-555-9231', 'carla.koslosky61@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Alicia', 'Sherwood', '', '852-555-6909', 'alicia.sherwood56@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Veronica', 'Gilley', 'Ernesto', '733-555-4462', 'veronica.gilley50@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Tamara', 'Greene', '', '782-555-1758', 'tamara.greene25@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Fannie', 'Roth', 'Norman', '455-555-7243', 'fannie.roth45@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Richard', 'Taylor', 'Linda', '317-555-8272', 'richard.taylor36@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jay', 'Robinson', '', '252-555-1215', 'jay.robinson95@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Parker', 'Bethell', 'Timothy', '289-555-4555', 'parker.bethell58@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Phyllis', 'Michaels', 'Louise', '135-555-4335', 'phyllis.michaels89@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Amber', 'Denning', '', '368-555-9855', 'amber.denning30@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Don', 'Kruger', 'Patricia', '543-555-5937', 'don.kruger42@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Robert', 'Moody', '', '932-555-4321', 'robert.moody45@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Mona', 'Brown', 'Angela', '813-555-3695', 'mona.brown90@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Bernie', 'Robertson', '', '670-555-1480', 'bernie.robertson78@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Angela', 'Burke', 'Linda', '515-555-3385', 'angela.burke100@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Raul', 'Unger', '', '668-555-1247', 'raul.unger63@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Shari', 'Spratt', '', '815-555-8100', 'shari.spratt21@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Eric', 'Sierra', '', '864-555-1241', 'eric.sierra34@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Patrick', 'Hannah', '', '640-555-9501', 'patrick.hannah30@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Donna', 'Melton', '', '925-555-5150', 'donna.melton10@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Luis', 'Lazarus', '', '727-555-8547', 'luis.lazarus71@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Marian', 'Moore', '', '182-555-8086', 'marian.moore29@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Waldo', 'Serpa', '', '246-555-3636', 'waldo.serpa72@example.com', 'M');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Shannon', 'Rock', '', '638-555-2650', 'shannon.rock87@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Jennifer', 'Sacco', 'Zella', '799-555-6817', 'jennifer.sacco92@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Stephen', 'Towe', 'Heather', '368-555-1433', 'stephen.towe92@example.com', 'F');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Edward', 'Hicks', 'Andrew', '197-555-9131', 'edward.hicks44@example.com', 'Other');
INSERT INTO Employees (F_name, L_name, M_name, Phn_no, Email, Gender) VALUES ('Alton', 'Vinck', '', '213-555-9713', 'alton.vinck100@example.com', 'Other');
