INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Amie Hernandez', 8, 75, '0073438574', 'amie.hernandez@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('James Bernard', 68, 36, '4643106253', 'james.bernard@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Josephine Contreras', 16, 392, '3761151507', 'josephine.contreras@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Manuel Stewart', 94, 11, '5955736280', 'manuel.stewart@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Norma Simpson', 43, 859, '5521816066', 'norma.simpson@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Oliver Couch', 21, 668, '6484104034', 'oliver.couch@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Eleanor French', 81, 377, '1538010761', 'eleanor.french@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Tonya Waldrop', 1, 806, '9035535953', 'tonya.waldrop@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Ivan Jackson', 32, 47, '0492173309', 'ivan.jackson@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('George Hartsfield', 14, 189, '2723884944', 'george.hartsfield@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Jessie Goode', 42, 859, '9018153497', 'jessie.goode@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Doreen Wild', 56, 925, '3654891503', 'doreen.wild@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Jose Bailey', 87, 491, '2024485577', 'jose.bailey@email.com');
INSERT INTO Suppliers (Sup_name, P_id, Quantity, Phn_no, Email_id) VALUES ('Sydney Sifuentes', 53, 935, '7130403970', 'sydney.sifuentes@email.com');
